Outcome or subgroup title,No. of studies,No. of participants,Statistical method,Effect size,comparison_name,comparison_id,outcome_id,subgroup_id,outcome_name,subgroup_name
Hoogendijk 2016,Physical function,"ADLs Analysed using linear mixed model analysis adjusting for baseline differences. 1147 respondents (participants), 4574 observations Baseline (all groups): 0.9 (1.2) Time‐specific intervention effect B: 6 months: 0.01 B (95% CI 0.06 to 0.08); P = 0.84 12 months: −0.07 B (95% CI −0.16 to 0.02); P = 0.10 18 months: −0.04 B (95% CI −0.15 to 0.08); P = 0.53 24 months: −0.04 (95% CI −0.19 to 0.11); P = 0.61 Little or no difference between groups regardless of time point. Instrumental ADLS Analysed using linear mixed model analysis adjusting for baseline differences. 1129 respondents (participants), 4443 observations Baseline (all groups):2.6 (1.6) Time‐specific intervention effect B: 6 months: −0.08 (95% CI −0.19 to 0.02); P = 0.13 12 months: −0.11 (95% CI −0.24 to 0.03); P = 0.14 18 months: −0.25 (95% CI −0.43 to −0.07); P = 0.007 24 months: −0.16 (95% CI −0.40 to 0.08); P = 0.19 Little or no difference between groups regardless of time point.",Instrument: Katz Index for activities of daily living (ADLs) and instrumental activities of daily living (IADLs). Follow‐up: 12 months. CI: confidence interval.,,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Hoogendijk,,,
Kono 2012,Physical function,ADLs 12 months: IG: mean 89.00 points (SD 14.30) CG: mean 89.80 points (SD 15.10) MD 0.80 points (95% CI −2.42 to 4.02) 24 months: IG: mean 88.10 points (SD 14.70) CG: mean 89.0 points (SD 18.70) MD 0.9 points (95% CI −3.21 to 5.01) IADLs 12 months: IG: mean 7.1 points (SD 3.8) CG: mean 7.1 points (SD 3.9) MD 0.0 points (95% CI −2.23 to 2.23) 24 months: IG: mean 7.0 points (SD 3.8) CG: mean 7.0 points (SD 4.0) MD 0.0 points (95% CI −0.95 to 0.95),"Number of participants at baseline: intervention group (IG): 161; control group (CG): 162. Instrument: activities of daily living (ADLs) measured with the Barthel Index; instrumental activities of daily living (IADLs) measured with the Tokyo Metropolitan Institute of Gerontology Index of Competence (13 items, scores range from 0–13, higher scores indicate lower disability). Follow‐up: 12 and 24 months. CI: confidence interval; MD: mean difference; SD: standard deviation.",,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Kono,,,
Kono 2016,Physical function,ADLs 12 months: IG: mean 91.5 points (95% CI 89.5 to 93.5) CG: mean 91.9 points (95% CI 89.1 to 93.1) 24 months: IG: mean 90.0 points (95% CI 87.8 to 92.2) CG: mean 85.0 points (95% CI 83.0 to 87.0) IADLs 12 months: IG: mean 7.8 points (95% CI 7.4 to 8.2) CG: mean 7.8 points (95% CI 7.4 to 8.2) 24 months: IG: mean 7.4 points (95% CI 6.8 to 8.0) CG: mean 7.3 points (95% CI 6.9 to 7.7),"Number of participants at baseline: intervention group (IG): 179; control group (CG): 181. ADLs: activities of daily living (ADLs) measured with the Barthel Index, reported as adjusted means with 95% CI; instrumental activities of daily living (IADLs) measured with the Tokyo Metropolitan Institute of Gerontology Index of Competence. Follow‐up: 12 and 24 months. CI: confidence interval.",,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Kono,,,
Leung 2004,Physical function,Functional performance – ADLs IG: mean 0.3 points (SD 1.0) CG: mean 0.2 points (SD 1.1) MD 0.1 points (95% CI −0.34 to 0.54) Functional performance – level of transfers IG: mean 0.4 points (SD 1.2) CG: mean 0.2 points (SD 1.0) MD 0.2 points (95% CI −0.26 to 0.66) Functional performance – level of continence IG: mean 0.3 points (SD 0.8) CG: mean 0.0 points (SD 0.2) MD 0.3 points (95% CI 0.06 to 0.54) Participants allocated to IG scored higher on the continence scale (P < 0.05),"Number of participants at baseline: intervention group (IG): 45; control group (CG): 47. Instrument: Minimal Data Set‐Home Care (MDS‐HC; 6 subscales, higher scores indicate higher disability). Follow‐up: 12 months. ADLs: activities of daily living; CI: confidence interval; MD: mean difference.",,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Leung,,,
Melis 2008,Physical function,GARS‐3: 3 months: Authors reported intervention effect difference (D) from baseline to 3 months: −2.2 (95% CI −4.2 to −0.30) 6 months: Authors reported intervention effect difference (D) from baseline to 6 months: −1.6 (95% CI −3.9 to −0.70),"Number of participants at baseline: intervention group (IG): 85; control group (CG): 66. Instrument: Groningen Activity Restriction Scale‐3 (GARS‐3; 18 items covering activities of daily living and instrumental activities of daily living, score ranging from 18–72, higher scores represent more disability) Follow‐up: 3 and 6 months (effect size is change from baseline)",,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Melis,,,
Metzelthin 2013,Physical function,GARS 6 months: IG: mean 32.83 points (SD 10.98) CG: 30.16 points (SD 10.07) MD 0.41 points (95% CI −0.80 to 1.62) 12 months: IG: mean 33.08 points (SD 11.34) CG: mean 30.8 points (SD 10.29) MD 0.47 points (95% CI −0.81 to 1.76) 24 months: IG: mean 34.4 points (SD 11.6) CG: mean 31.5 points (SD 10.9) MD 1.18 points (95% CI −0.35 to 2.71) GARS ADL 6 months: IG: mean 17.54 points (SD 5.82) CG: mean 16.17 points (SD 5.13) MD 0.25 points (95% CI −0.44 to 0.94) 12 months: IG: mean 17.81 points (SD 5.90) CG: mean 16.3 points (SD 5.31) MD 0.59 points (95% CI −0.14 to 1.33) 24 months: IG: mean 18.31 points (SD 5.82) CG: mean 16.73 points (SD 5.73) MD 0.77 points (95% CI −0.05 to 1.59) GARS IADL 6 months: IG: mean 15.29 points (SD 5.92) CG: mean 14.0 points (SD 5.51) MD 0.17 points (95% CI −0.63 to 0.97) 12 months: IG: mean 15.28 points (SD 6.03) CG: mean 14.51 points (SD 5.69) MD −0.12 points (95% CI −0.93 to 0.68) 24 months: IG: mean 16.08 points (SD 6.35) CG: mean 14.77 points (SD 5.86) MD 0.4 points (95% CI −0.54 to 1.34),"Number of participants at baseline: intervention group (IG): 193; control group (CG): 153. Instrument: Groningen Activity Restriction Scale (GARS; 18 items covering activities of daily living (ADLs) and instrumental activities of daily living (IADLs), score ranging from 18–72, higher scores represent more disability). Follow‐up: 6, 12, and 24 months. CI: confidence interval; MD: mean difference; SD: standard deviation.",,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Metzelthin,,,
Parsons 2012,Physical Function,"ADLs – short‐form (secondary outcome) Treatment effect mean 0.015 (95% CI −0.21 to 0.24) ADLs – self‐performance (secondary outcome) Treatment effect mean 0.018 (95% CI −0.11 to 0.14) ADLs – long‐form (secondary outcome) Treatment effect mean 0.045 (95% CI −0.43, 0.52) IADLs – difficulty (secondary outcome) Treatment effect mean 0.052 (95% CI −0.14 to 0.25) IADLs – involvement (secondary outcome) Treatment effect mean 0.310 (95% CI 0.04 to 0.58) IADLs – summary (secondary outcome) Treatment effect mean 0.671 (95% CI 0.11 to 1.23)",Number of participants at baseline: intervention group (IG): 169; control group (CG): 182. Instrument: activities of daily living (ADLs); instrumental activities of daily living (IADLs). Follow‐up: 24 months. CI: confidence interval.,,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Parsons,,,
Spoorenberg 2018,Physical function,"Katz‐15 – Mean change from baseline Frail group: IG: mean 2.36 points (SD 2.40) CG: mean 2.24 points (SD 2.57) MD 0.12 points (95% CI −0.53 to 0.77) Complex care needs group: IG: mean 3.87 points (SD 2.86) CG: mean 4.04 points (SD 3.06) MD 0.17 points (95% CI −0.48, 0.82)","Number of participants at baseline: stratified into 3 strata: robust (854 participants; excluded from analysis due to not frail population); frail (237 participants); and complex care needs (365 participants). Instrument: modified Katz scale (Katz‐15; 15 items covering activities of daily living (ADLs) and instrumental activities of daily living (IADLs), higher scores represent higher disability). Follow‐up: 12 months. CG: control group. CI: confidence interval; IG: intervention group; MD: mean difference; SD: standard deviation.",,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Spoorenberg,,,
Suijker 2016,Physical function,"Modified Katz‐ADL Index 6 months: IG: mean 3.11 points (95% CI 2.94 to 3.28) CG: mean 3.32 points (95% CI: 3.13 to 3.50) 12 months: IG: mean 3.38 points (95% CI 3.20 to 3.56) CG: mean 3.59 points (95% CI 3.39 to 3.78) 18 months: IG: mean 3.53 points (95% CI 3.34 to 3.71) CG: mean 3.74 points (95% CI 3.54 to 3.93) 24 months: IG: mean 3.27 points (95% CI 3.09 to 3.45) CG: mean 3.48 points (95% CI 3.28 to 3.67) Katz‐ADL (estimated mean scores adjusted for baseline outcome) 6 months: IG: mean 3.05 points (95% CI 2.94 to 3.15) CG: mean 3.10 points (95% CI 2.98 to 3.21) 12 months: IG: mean 3.33 points (95% CI 3.21 to 3.44) CG: mean 3.38 points (95% CI 3.25 to 3.51) 18 months: IG: mean 3.47 points (95% CI 3.35 to 3.59) CG: mean 3.52 points (95% CI 3.39 to 3.65) 24 months: IG mean 3.20 points (95% CI 3.07 to 3.34) CG: mean 3.26 points (95% CI 3.11 to 3.40) Katz‐ADL (estimated mean scores adjusted for baseline age, sex, socio‐economic status, level of education, and modified Katz‐ADL Index score) 6 months: IG mean 3.02 points (95% CI 2.92 to 3.12) CG: mean 3.09 points (95% CI 2.98 to 3.21) 12 months: IG mean 3.31 points (95% CI 3.20 to 3.42) CG: mean 3.39 points (95% CI 3.26 to 3.51) 18 months: IG mean 3.46 points (95% CI 3.33 to 3.58) CG: mean 3.53 points (95% CI 3.40 to 3.66) 24 months: IG mean 3.19 points (95% CI 3.05 to 3.66) CG: mean 3.27 points (95% CI 3.12 to 3.41)","Number of participants at baseline: intervention group (IG): 1209; control group (CG): 1074. Instrument: 15‐item modified Katz‐ADL (activities of daily living) Index. Follow‐up: 6, 12, 18, and 24 months follow‐up. CI: confidence interval.",,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Suijker,,,
van Hout 2010,Physical function,IG: mean 51.8 points (SD 10.40) CG: mean 53.0 points (SD 10.5) MD 1.2 points (95% CI −0.41 to 2.81),"Number of participants at baseline: intervention group (IG): 331; control group (CG): 320. Instrument: Groningen Activity Restriction Scale (GARS; disability in activities of daily living (ADLs) and instrumental activities of daily living (IADLs), range 18–72). Follow‐up: 18 months. CI: confidence interval; MD: mean difference.",,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,van,,,
"5.2 Change in cognitive, emotional, and social function between 3 and 24 months follow‐up Show forest plot",12,,Other data,No numeric data,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,5,2,,"Change in cognitive, emotional, and social function between 3 and 24 months follow‐up Show forest plot"
"Change in cognitive, emotional, and social function between 3 and 24 months follow‐up","Change in cognitive, emotional, and social function between 3 and 24 months follow‐up","Change in cognitive, emotional, and social function between 3 and 24 months follow‐up","Change in cognitive, emotional, and social function between 3 and 24 months follow‐up",,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Change,,"in cognitive, emotional, and social function between 3 and 24",
Study,Outcome,Results,Notes,,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Study,,,
Cognitive function,Cognitive function,Cognitive function,Cognitive function,,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Cognitive,,,
Bernabei 1998,Mental status,IG: AdjM 2.8 points (SD 1.99) CG: AdjM 3.4 points (SD 2) MD 0.6 points (95% CI 0.04 to 1.16),"Number of participants at baseline: intervention group (IG): 99; control group (CG): 100. Instrument: Short Portable Mental Status Questionnaire (SPMSQ; 10 items, scores ranging 0–0, higher scores represent worse cognitive function). Follow‐up: 10 months. AdjM: mean adjusted for baseline measures; CI: confidence interval; MD: mean difference; SD: standard deviation.",,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Bernabei,,,
Kono 2016,Cognitive capacity,12 months: IG: mean change 2.2 points (95% CI 2.0 to 2.4); CG: mean change 2.2 points (95% CI 2.0 to 2.4) 24 months: IG: mean change 2.4 points (95% CI 2.2 to 2.6); CG: mean change 2.2 points (95% CI 2.0 to 2.4),"Number of participants at baseline: intervention group (IG): 179; control group (CG): 181. Instrument: Metamemory in Adulthood Questionnaire (MAQ; capacity subscale, 7 items, scores ranging 5–35, higher scores represent better cognitive function). Follow‐up: 12 and 24 months. CI: confidence interval.",,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Kono,,,
Leung 2004,Mental status,IG: mean −0.1 points (SD 1.4) CG: mean −0.2 points (SD 0.8) MD 0.1 points (95% CI −0.37 to 0.57),"Number of participants at baseline: intervention group (IG): 45; control group (CG): 47. Instrument: Minimal Data Set‐Home Care (MDS‐HC; mental status subscale, higher scores indicate higher disability). Follow‐up: 12 months CI: confidence interval; MD: mean difference; SD: standard deviation.",,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Leung,,,
Melis 2008,Mental status,MMSE: Authors reported intervention effect difference (D) from baseline to 6 months: −0.5 (95% CI −1.8 to 0.1),Number of participants at baseline: intervention group (IG): 88; control group (CG): 67. Instrument: Folstein Mini Mental State Examination (MMSE). Follow‐up: 6 months CI: confidence interval.,,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Melis,,,
Emotional function,Emotional function,Emotional function,Emotional function,,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Emotional,,,
Applebaum 2002,Mood,6 months: IG: mean 14.90 points CG: mean 15.90 points P < 0.5 12 months IG: mean 15.30 points CG: mean 15.80 points,Number of participants at baseline: intervention group (IG): 156; control group (CG): 152. Instrument: Overall Mood (range 0–20; high score is happier). Follow‐up: 6 and 12 months.,,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Applebaum,,,
Bernabei 1998,Depression symptoms,IG: AdjM 10.9 points (SD 5.0) CG: AdjM 12.8 points (SD 5.0) MD 1.9 points (95% CI 0.50 to 3.30),"Number of participants at baseline: intervention group (IG): 99; control group (CG): 100. Instrument: Geriatric Depression Scale (GDS; 30 items, scores range from 0–30, higher scores represent more depression symptoms). Follow‐up: 12 months. AdjM: mean adjusted for baseline measures; CI: confidence interval; MD: mean difference; SD: standard deviation.",,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Bernabei,,,
Cameron 2013,Depression symptoms,3 months: IG: mean 4.89 points (SD 3.14) CG: mean 4.90 points (SD 3.24) MD 0.01 points (95% CI −0.83 to 0.85) 12 months: IG: mean 4.62 points (SD 3.33) CG: M 4.98 points (SD 3.16) MD 0.36 points (95% CI −0.51 to 1.23),Number of participants at baseline: intervention group (IG): 120; control group (CG): 121. Instrument: Geriatric Depression Scale (GDS). Follow‐up: 3 and 12 months. CI: confidence interval; MD: mean difference; SD: standard deviation.,,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Cameron,,,
Kono 2012,Depression symptoms,12 months: IG: mean 6.7 points (SD 4.1) CG: mean 6.9 points (SD 4.0) MD 0.2 points (95% CI −0.69 to 1.09) 24 months: IG: mean 7.1 points (SD 4.0) CG: mean 7.2 points (SD 3.8) MD 0.1 points (95% CI −0.88 to 1.06),"Number of participants at baseline: intervention group (IG): 161; control group (CG): 162. Geriatric Depression Scale (GDS; short version, 15‐items, scores range 0–15, higher scores represent more depression symptoms). Follow‐up: 12 and 24 months. CI: confidence interval; MD: mean difference; SD: standard deviation.",,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Kono,,,
Kono 2016,Depression symptoms,12 months: IG: mean 2.2 points (95% CI 2.0 to 2.4) CG: mean 2.2 points (95% CI 2.0 to 2.4) 24 months: IG: mean 2.2 points (95% CI 2.0 to 2.4) CG: mean 2.2 (95% CI 2.0 to 2.4),"Number of participants at baseline: intervention group (IG): 179; control group (CG): 181. Geriatric Depression Scale (GDS; short version, 5‐items, scores range from 0–5, higher scores represent more depression symptoms). Follow‐up: 12 and 24 months. CI: confidence interval.",,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Kono,,,
Leung 2004,Mood symptoms,IG: mean −0.5 points (SD 1.2) CG: mean −0.2 points (SD 0.7) MD 0.3 points (95% CI −0.12 to 0.71),"Number of participants at baseline: intervention group (IG): 45; control group (CG): 47. Instrument: Minimal Data Set‐Home Care (MDS‐HC; mood symptoms subscale, higher scores represent more depression symptoms). Follow‐up: 12 months. CI: confidence interval; MD: mean difference; SD: standard deviation.",,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Leung,,,
Markle‐Reid 2006,Depression symptoms,IG: mean 11.9 points (SD 10.2) CG: mean 118.0 points (SD 10.8) MD 2.72 points (95% CI 0.39 to 5.07),Number of participants at baseline: intervention group (IG): 144; control group (CG): 144. Instrument: Center for Epidemiologic Studies Depression Scale (CES‐D). Follow‐up: 6 months. CI: confidence interval; MD: mean difference; SD: standard deviation.,,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Markle‐Reid,,,
Melis 2008,Perceived loneliness,Authors report intervention effect difference (D) from baseline to 3 months: 0.10 (95% CI −0.8 to 0.99),"Number of participants at baseline: intervention group: 88; control group: 67. Perceived loneliness, the de Jong‐Gierveld & Kamphuis Loneliness Scale (range 0–11) Follow‐up: 3 months",,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Melis,,,
Metzelthin 2013,Depression symptoms,6 months: IG: mean 5.72 points (SD 3.49) CG: mean 5.82 points (SD 3.88) MD −0.11 points (95% CI −0.80 to 0.58) 12 months: IG: mean 5.68 points (SD 4.13) CG: mean 5.82 points (SD 3.92) MD 0.78 points (95% CI −0.04 to 1.53) 24 months: IG: mean 5.97 points (SD 4.18) CG: mean 6.10 points (SD 3.78) MD −0.07 points (95% CI −0.90 to 0.77),"Number of participants at baseline: intervention group (IG): 193; control group (CG): 153 (numbers refer to approximate analysis for cluster randomised trials). Instrument: Hospital Anxiety and Depression Scale‐depression subscale (HADS‐D; 7 items, scores range 0–21, higher scores represent more depression symptoms). Follow‐up: 6, 12, and 24 months. CI: confidence interval; MD: mean difference; SD: standard deviation.",,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Metzelthin,,,
Suijker 2016,Emotional wellbeing,"RAND‐36 6 months: IG: mean 70.25 points (95% CI 70.2 to 72.29) CG: mean 70.39 points (95% CI 70.31 to 72.41) 12 months: IG: mean 70.08 points (95% CI 68.98 to 71.19) CG: mean 70.33 points (95% CI 69.16 to 71.50) 18 months: IG: mean 70.24 points (95% CI 69.12 to 71.35) CG: mean 69.94 points (95% CI 68.49 to 71.80) 24 months: IG: mean 69.80 points (95% CI 68.67 to 70.92) CG: mean 68.90 points (95% CI 67.71 to 70.09) RAND‐36 (estimated mean scores adjusted for baseline outcome) 6 months: IG: mean 71.25 points (95% CI 70.21 to 72.29) CG: mean 71.39 points (95% CI 70.30 to 72.47) 12 months: IG: mean 70.09 points (95% CI 68.98 to 71.19) CG: mean 70.32 points (95% CI 69.15 to 71.49) 18 months: IG: mean 70.24 points (95% CI 69.13 to 71.35) CG: mean 69.63 points (95% CI 68.48 to 71.79) 24 months: IG: mean 69.80 points (95% CI 68.68 to 70.93) CG: mean 68.89 points (95% CI 67.70 to 70.08) RAND‐36 (estimated mean scores adjusted for baseline age, sex, socio‐economic status, level of education, and modified Katz‐ADL index score) 6 months: IG: mean 70.12 points (95% CI 70.07 to 72.16) CG: mean 71.50 points (95% CI 70.42 to 72.59) 12 months: IG: mean 69.90 (95% CI 68.79 to 71.01) CG: mean 70.43 points (95% CI 69.26 to 71.60) 18 months: IG: mean 70.14 points (95% CI 69.01 to 71.26) CG: mean 69.80 points (95% CI 68.64 to 70.96) 24 months IG: mean 69.76 points (95% CI 68.63 to 70.90) CG: mean 69.06 points (95% CI 67.87 to 70.25)","Number of participants at baseline: intervention group (IG): 1209; control group (CG): 1704 Instrument: RAND Corporation 36‐item health‐related quality of life instrument (RAND‐36). Follow‐up: 6, 12, 18, and 24 months. ADLs: activities of daily living; CI: confidence interval.",,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Suijker,,,
Social function,Social function,Social function,Social function,,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Social,,,
Cameron 2013,Social space,3 months: IG: mean 35.5 points (SD 16.1) CG: mean 30.3 points (SD 13.9) MD 5.2 points (95% CI 1.28 to 9.12) 12 months: IG: mean 34.2 points (SD 16.2) CG: mean 30.9 points (SD 5.5) MD 3.3 points (95% CI 0.07 to 6.53),"Number of participants at baseline: intervention group (IG): 120; control group (CG): 121. Instrument: University of Alabama at Birmingham Life Space Assessment (scores range from 0–120, higher scores represent greater life space). Follow‐up: 3 and 12 months. CI: confidence interval; MD: mean difference; SD: standard deviation.",,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Cameron,,,
Hoogendijk 2016,Social functioning,"Analysed using logistic mixed model analysis adjusting for baseline differences. 1140 respondents (participants), 4455 observations Baseline (all groups): 31.7% Time‐specific intervention effect: 6 months: OR 1.14 (95 CI 0.89 to 1.46); P = 0.31 12 months OR 0.92 (95 CI 0.67 to 1.27); P = 0.62 18 months OR 1.34 (95 CI 0.91 to 1.97); P = 0.14 24 months OR 1.26 (95 CI 0.76 to 2.10); P = 0.37 No difference between groups regardless of time point.",Instrument: poor social functioning. Follow‐up: 12 months CI: confidence interval; OR: odds ratio.,,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Hoogendijk,,,
Kono 2012,Social support,12 months: IG: mean 7.1 points (SD 4.2) CG: mean 6.9 points (SD 4.7) MD 0.2 points (95% CI −0.78 to 1.18) 24 months: IG: mean 7.1 points (SD 4.1) CG: mean 7.3 points (SD 4.5) MD 0.2 points (95% CI −0.85 to 1.25),"Number of participants at baseline: intervention group (IG): 161; control group (CG): 162. Instrument: Social Support Scale (scores range from 0–4, higher scores represent more available social support). Follow‐up: 12 and 24 months. CI: confidence interval; MD: mean difference; SD: standard deviation.",,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Kono,,,
Kono 2016,Satisfaction with social activity,12 months: IG: mean 33.7 points (95% CI 31.9 to 35.5) CG: mean 36.5 points (95% CI 34.7 to 38.3) 24 months: IG: mean 31.2 points (95% CI 29.4 to 33.0) CG: mean 33.9 points (95% CI 32.1 to 35.7),"Number of participants at baseline: intervention group (IG): 179; control group (CG): 181. Instrument: Daily Life Satisfaction related to social activities (14 items, scores range from 14–70, higher scores represent more satisfaction with social activities). Follow‐up: 12 and 24 months. CI: confidence interval.",,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Kono,,,
Markle‐Reid 2006,Perceived social support,IG: mean 124.9 points (SD 21.9) CG: mean 125.2 points (SD 22.3) MD −5.26 points (95% CI −9.18 to −1.34),"Number of participants at baseline: intervention group (IG): 144; control group (CG): 144. Instrument: Personal Resource Questionnaire (PRQ85; 25‐item subscale, maximum score 175 points, higher scores represent more perceived social support). Follow‐up: 6 months. CI: confidence interval; MD: mean difference; SD: standard deviation.",,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Markle‐Reid,,,
Metzelthin 2013,Social support and participation,Social Support: 6 months: IG: mean 27.03 points (SD 6.36) CG: mean 26.94 points (SD 5.53) MD 0.18 points (95% CI −0.79 to 1.15) 12 months: IG: mean 27.10 points (SD 6.09) CG: mean 27.27 points (SD 6.54) MD −0.12 points (95% CI −1.22 to 0.99) 24 months: IG: mean 26.76 points (SD 5.98) CG: mean 27.35 points (SD 6.27) MD −0.29 points (95% CI −1.37 to 0.79) Social Participation: 6 months: IG: mean 0.4 points (SD 0.36) CG: mean 0.46 points (SD 0.40) MD 0.00 points (95% CI −0.04 to 0.03) 12 months: IG: mean 0.35 points (SD 0.32) CG: mean 0.45 points (SD 0.40) MD −0.05 points (95% CI −0.11 to 0.01) 24 months: IG: mean 0.33 points (SD 0.31) CG: mean 0.44 points (SD 0.45) MD −0.04 points (95% CI −0.11 to 0.04),"Number of participants at baseline: intervention group (IG): 193; control group (CG): 153 (numbers refer to approximate analysis for cluster randomised trials). Instruments: Social Support List (SSL; scores range from 12–48, higher scores indicate more social support). Maastricht Social Participation‐ Consumptive Participation‐ Frequency subscale (MSPP‐CP‐F; scores range from 0‐3 range, higher scores indicate more social participation). Follow‐up: 6, 12, and 24 months. CI: confidence interval; MD: mean difference; SD: standard deviation.",,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Metzelthin,,,
Sandberg 2015,Social participation,Number of social participation activities IG: median 3.0 (IQR 2 to 5); CG: median 3 (IQR 1 to 4) Total important leisure activities IG: median 12 (IQR 9 to 14); CG: median 11 (IQR 9 to 13),"Number of participants at baseline: intervention group (IG): 80; control group (CG): 73. Instrument: social participation (13 questions, scores range from 0–13, higher scores represent more social participation); performance and importance of leisure activities (17 questions, scoring and direction of instrument unclear). Follow‐up: 12 months IQR: interquartile range.",,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,Sandberg,,,
5.2.1 Cognitive function,4,,Other data,No numeric data,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,5,2,,Cognitive function
5.2.2 Emotional function,10,,Other data,No numeric data,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,5,2,,Emotional function
5.2.3 Social function,7,,Other data,No numeric data,"Case management compared with usual care for change in physical, cognitive, emotional, and social function",9,5,2,,Social function
6.1 Hospital admissions at 12 months' follow‐up Show forest plot,5,2424,"Risk Ratio (M‐H, Random, 95% CI)","0.91 [0.79, 1.05]",Case management compared with usual care for change in health and social care utilisation,12,6,1,,Hospital admissions at 12 months' follow‐up Show forest plot
6.2 Hospital admissions and other health care utilisation data between 6 and 24 months' follow‐up Show forest plot,0,,Other data,No numeric data,Case management compared with usual care for change in health and social care utilisation,12,6,2,,Hospital admissions and other health care utilisation data between 6 and 24 months' follow‐up Show forest plot
Hospital admissions and other health care utilisation data between 6 and 24 months' follow‐up,Hospital admissions and other health care utilisation data between 6 and 24 months' follow‐up,Hospital admissions and other health care utilisation data between 6 and 24 months' follow‐up,,,Case management compared with usual care for change in health and social care utilisation,12,Hospital,,admissions and other health care utilisation data between 6 and 24 m,
Study,Results,Notes,,,Case management compared with usual care for change in health and social care utilisation,12,Study,,,
Applebaum 2002,Hospital admissions 6 months: IG: 39/140; CG: 43/153 Between 12 and 18 months: IG: 36/111; CG: 30/108,"Number of participants at baseline: intervention group (IG): 156; control group (CG): 152. Follow‐up: 6, 12, and 18 months.",,,Case management compared with usual care for change in health and social care utilisation,12,Applebaum,,,
Bernabei 1998,Cumulative number of days per year spent in nursing home IG: 1087; CG: 2121 Cumulative number of days per year spent in hospital IG: 894; CG: 1367 Number of participants with emergency department attendance IG: 6/99; CG: 17/100 Number of home visits by general practitioners IG: mean 13.1 home visits (SD 0.8) CG: mean 10.2 home visits (SD 1.1) MD 2.9 home visits (95% CI 2.63 to 3.17) Number of nursing care hours IG: mean 13.0 hours (SD 3.0) CG: mean 12.0 hours (SD 3.0) MD 1.0 hours (95% CI 0.16 to 1.84) Number of home support hours IG: mean 120.0 hours (SD 20.0) CG: mean 154.0 hours (SD 29.0) MD 34.0 hours (95% CI 27.03 to 40.97) Meals on wheels IG: mean 54.0 meals on wheels (SD 12.0) CG: mean 39.0 meals on wheels (SD 10.0) MD 15.0 meals on wheels (95% CI 11.91 to 18.09),Number of participants at baseline: intervention group (IG): 99; control group (CG): 100. Follow‐up: 12 months. CI: confidence interval; MD: mean difference; SD: standard deviation.,,,Case management compared with usual care for change in health and social care utilisation,12,Bernabei,,,
